Topic, Top Terms
Topic 00, hardware compression high-performance partitioning online support image processing method algorithm loops evaluation security information services fault attacks shared multiprocessors robust
Topic 01, body recognition physical monitoring area activity sensors multiple devices tool device energy-efficient mac selection reconfigurations processing hierarchical smart reliable multiprocessors
Topic 02, energy-efficient allocation techniques task variable hard optimal coalescing processor dynamically schedulability compositional multiprocessor processing low-cost probabilistic buffer computation graphs stream
Topic 03, modeling integration virtual towards trade-offs under thread parallelism method over scalable i/o probabilistic theory nets processor computation hierarchical fault workload
Topic 04, distributed secure routing sharing localization reconfigurations computing schedulability hard smart processing scalable low-cost platform methodology programming thread lightweight based advanced
Topic 05, dynamic platforms video exploration vliw programs profiling support interactive services instructions over space evaluation controllers via workload fault scalable computation
Topic 06, cyber-physical fast programming networked devices tool introduction framework probabilistic compositional static packet methodology accurate over localization scalable via algorithm application-specific
Topic 07, mobile framework trade-off dynamic selection programming localization attacks communication robust model-driven methodology application-specific workload chip platform smart soc multiprocessors profiling
Topic 08, efficient implementation storage flash-memory reduction layer dsp size processor under evaluation communication devices thread protocol controllers over probabilistic methodology localization
Topic 09, cache java environment highly device processing garbage application-specific algorithm fpgas reduction low multiple protocol localization security interactive evaluation methods buffer
Topic 10, processors voltage low-power estimation dynamically optimal custom variable application-specific information packet thread scalable processing scratchpad algorithm processor evaluation instructions static
Topic 11, introduction section multiprocessor exploration space system-on-chip advanced chip platform application-specific processing soc engineering probabilistic multiprocessors robust methodology shared smart platforms
Topic 12, based time instruction model analyzing petri caches checking nets communication thread protocol controllers sharing processors reliable fpga exploration security attacks
Topic 13, generation automatic programs from specifications systemc loop loops partitioning application reactive stream communication hierarchical via services evaluation tool graphs instructions
Topic 14, performance constraints formal detection under soft specification i/o method deadlock reactive methods mac protocol methodology workload fpga reconfigurations information shared
Topic 15, assignment algorithms offset hard address register evaluation processor communication algorithm reconfigurations size buffer coalescing security tasks localization minimal variable method
Topic 16, system applications operating exploiting compiler energy online interactive high-performance dsp processor application-specific engineering parallelism mac fault stream specification size java
Topic 17, architectures reducing fpga implementations leakage vliw pipelined java environment parallel processing robust theory parallelism improving evaluation synthesis collection garbage hierarchical
Topic 18, heterogeneous energy-aware task computing register reliable coalescing policies reactive scheduling instructions video over communication engineering algorithm techniques parallelism shared probabilistic
Topic 19, efficient technique parallel simulation instruction-set distributed computing estimation over deadlock methods improving model-driven fpgas algorithm hierarchical reduction size workload processing
Topic 20, editorial guest configurable computing algorithms hardware security model-driven soc exploration space cache engineering parallelism low highly introduction shared probabilistic fpgas
Topic 21, scheduling models synchronous flow tasks scratchpad minimal graphs nets static security processor improving smart algorithm via information hierarchical buffer lightweight
Topic 22, flash hybrid scheme translation layer algorithm lightweight address abstraction buffer security smart under fault attacks localization information probabilistic deadlock compiler
Topic 23, study system-level case computing power-aware accurate fast smart unified soc methodology power modeling engineering shared profiling exploration parallelism fpgas probabilistic
Topic 24, verification petri refinement safety nets abstraction deadlock hybrid localization via specification fault controllers computation application communication dynamically security introduction systemc
Topic 25, energy cache tasks loops partitioning reconfiguration low highly leakage workload runtime java via processing improving environment packet detection parallelism i/o
Topic 26, applications mapping scheduling mpsocs streaming application dynamic policies unified robust reconfigurations reliable buffer profiling methodology specifications computation multiprocessors workload algorithm
Topic 27, synthesis instruction multicore execution model pipelined checking caches analyzing robust theory reactive schedulability computation multiprocessors attacks lightweight processors processing custom
Topic 28, power runtime efficiency reconfiguration through on-chip communication static algorithm computation fpgas parallelism reconfigurations controllers compiler improving probabilistic profiling fault attacks
