Topic, Top Terms
Topic 00, dependencies xml languages functional their stream indexes object application normal from decomposition problem mappings documents view security logical synopses top-k
Topic 01, expressions searching hierarchical batched into structured algebra tree inference programs synopses error computation comments networks structures conditions secure transactional mappings
Topic 02, multiple object-oriented access flexible schemata support policies forms constraints logical adaptive deductive properties knowledge transactions secure extended authorization formal time
Topic 03, file mining organization pattern logic application performance its matching execution streaming update rules simple bounded hierarchical shared transactions environment programs
Topic 04, information xml probabilistic approach modeling continuous results retrieval concepts space incomplete large conceptual objects index synopses keyword extraction structures text
Topic 05, algorithms based incremental graph sql structure natural transitive closure indexing frequent networks universal compression theory xpath problem formal scalable partitioning
Topic 06, hashing approach dynamic retrieval linear protocols new trie indexing replication implementing scheme partial file from strategies index partitioned view theory
Topic 07, views join dynamic querying through sets updates improving performance object sources projection hash framework view cache partitioned conjunctive relation estimating
Topic 08, foreword special temporal section introduction tods issue 2007 papers logical objects relation theory transactions deductive consistency towards mappings universal extended
Topic 09, optimal web complex complexity matching mining between values designing partial-match retrieval objects signature joins theory allocation facility applications use error
Topic 10, locking recovery associative method processors parallel b-trees concurrent partial b-tree processor time partitioned partitioning transactional set index security allocation xpath
Topic 11, transaction virtual supporting extension formal extended transactions buffer knowledge machine security consistency relation view deductive theory compression logical sdd-1 towards
Topic 12, relations form nested normal new redundancy problems extended incomplete documents partitioned conjunctive correctness editorial beyond computation methods decomposition adaptive publishing
Topic 13, large selection similarity optimizing indexing strategies record top-k metric backup shared adaptive joins time factors index bases objects conditions processor
Topic 14, spatial skyline operations spaces reorganization relation joins towards keyword methods moving partitioning high computation programs theory objects networks partitioned mappings
Topic 15, approximate fast access cost method constraints multidimensional framework privacy under unified anonymization efficient spaces hashing joins correctness security estimating publishing
Topic 16, processing efficient streams integrated frequent comments top computing extending simple operations technique xpath networks sdd-1 signature synopses constraints extraction decomposition
Topic 17, trees programming models reasoning update exchange sharing about via provenance efficient linear temporal order conceptual mappings inference programs structures deductive
Topic 18, performance efficient implementation replicated storage memory tree approach generalized support construction i/o mapping bounded technique index text transactions logical detection
Topic 19, from calculus functions algebra aggregate answering capturing extended set synopses bounds extending translation conjunctive transactions compression authorization estimation formal deductive
Topic 20, algorithm relation transactions networks finding updating clustering universal consistency theory joins security objects structures formal methods deductive adaptive applications view
Topic 21, techniques automatic integrity maintenance generation rules approach static active behavior translation facility methods backup objects physical logical deductive view conceptual
