Topic, Top Terms
Topic 00, library number fast corrigendum normal random generators generation mathematical standard elementary scalable exponential portable computer pseudorandom procedure splines integer testing
Topic 01, partial computation elliptic derivatives interactive fast point [d3]. spectral simple variables continuous sturm-liouville solver ieee accurate system complexity banded arbitrary
Topic 02, matrices eigenvalue problem generalized solve symmetric [f2]. dense iteration real storage large bisection eigenvalues program state tridiagonal subroutine gauss banded
Topic 03, numerical transform minimization inversion laplace software fourier plotting ``algorithm certification three program large-scale related contour truncated transforms bifurcation [j6]. preconditioners
Topic 04, programming test quadratic problem large-scale generator network constrained definite simplex sequential positive semidefinite subroutines full flow combination numerical two software
Topic 05, automatic program equation integral kind problem second differentiation [h]. three-dimensional regions location approach collocation distance three computation sampling continuation triangle
Topic 06, performance evaluation programs vector routines high-performance real computers set level-3 flexible high related new gamma errors policy suite scientific sequences
Topic 07, interpolation series programs multivariate toolbox scattered approximations sets piecewise [z]. shepard test convex taylor hierarchical bivariate use planar accuracy fast
Topic 08, sparse design symmetric code solver direct large unsymmetric indefinite evaluation scaling exploiting matrix user out-of-core finite-element packages robust diagonal mixed
Topic 09, arithmetic floating-point precision environment testing square multiple-precision some problem-solving tool multiple mixed rounded variable helmholtz basic extended forms library accuracy
Topic 10, analysis runge-kutta error global explicit control ordinary interpolants selection tree algebraic pairs solver techniques stability high-order procedures generation orders finding
Topic 11, incomplete computation subroutines gamma equation note integer compute improved factorizations mathieu their airy inverse orders ratios implementations solutions eigenvalues beta
Topic 12, matrix blas block generalized triangular recursive sylvester software multiplication fast calculation blocked part processors schur level two stability errors roundoff
Topic 13, numerical general computation polynomials two-dimensional object-oriented form library domains homotopy over time forms hermite normal product class tridiagonal collocation [d3].
Topic 14, software applications rational constraints from bounds error part processing fixed regression robust orthogonal algebraic interpolation weighted finding distance zero least-squares
Topic 15, element finite code manipulation tensor generation computer codes quadrature adaptive symbolic local products globally generic structures efficiency global classes reliable
Topic 16, algebra basic subprograms special model test set sparse usage 539 level translation blas processor multiple programs matrices extended corrigenda interface
Topic 17, value solvers stiff numerical two initial ordinary some multistep [f1]. runge-kutta formulas generator evaluation subroutine code variable nonstiff odes based
Topic 18, adaptive software integration optimal automatic interface parabolic routines over integrals pdes quadrature tests numerical partitioning control interval sturm-liouville based one-dimensional
Topic 19, bessel portable subroutine integrals modified argument exponential order least squares coefficients linearly solutions nonnegative 644 arguments iterative refinement weighted positive
Topic 20, matrix reduction estimation form real hessenberg applications condition profile eigenvalues subroutines solvers calculating codes improving ordering part subroutine estimating hybrid
Topic 21, generating discrete random quadrature distributions general routines cubature variables updating polynomials interpolatory rules from orthogonal weight machine best sampling degree
Topic 22, computational from comparison approximation zeros new iterative interface polynomial simultaneous overview standard inverse refinement distribution differentiation sampling collection policy sequences
Topic 23, system exact software unconstrained acm mathematical programming gradient [e4]. constrained policy analysis testing least squares architectures generalized that subroutines evaluation
Topic 24, sparse matrix framework decomposition partial multifrontal ``algorithm object-oriented factorization [f4]. pivoting storage dense values computations distributed techniques out-of-core elimination [z].
Topic 25, sparse software factorization cholesky polynomial matrices study new estimating mathematical case compiler minimal analysis format jacobian triangular subroutines basis hybrid
Topic 26, block diagonal [s14]. packages almost elimination certain collocation modified software odes row boundary-value [d2]. gaussian probabilities adams column arbitrary spline
Topic 27, subroutines approximate solutions grasp quadratic parameters assignment calculation accurate minimum space maximum models set column degree ordering scalar sparse dense
Topic 28, interpolation surface fitting polynomial curve interval spline smooth cubic bivariate points tension [e2]. distributed procedures accuracy that has local via
