Topic, Top Terms
Topic 00, interface capacitive circuit differential optical novel linear cmos output oscillator range contactless low-cost transducer high-speed processing laser amplifiers converter transducers
Topic 01, image adaptive algorithm images processing identification filter from detection signals robust automatic improved application control reconstruction particle genetic camera spectral
Topic 02, detection transform wavelet monitoring classification feature via motor condition induction fourier acoustic extraction decomposition online neural vibration networks fast machine
Topic 03, signals from spectrum sampling uncertainty analyzer algorithm phase effect accurate electromagnetic means surface emissions its simple two-dimensional switching periodic torque
Topic 04, impedance tomography electrical flow capacitance spectroscopy experimental identification verification two-phase recognition methods transient vector time-domain tdr conductivity thickness problem application
Topic 05, imaging applications 3-d optical range laser ultrasonic portable pulsed integrated modulation ultrasound radar detection resolution three-dimensional time-of-flight implementation image cmos
Topic 06, uncertainty comparison fuzzy experimental pressure results quality methods blood techniques different processing theory partial electric discharge validation statistical numerical identification
Topic 07, magnetic field networks neural electric transformer probe effect fields artificial generation probes model temperature electromagnetic flicker parameters uncertainty circuit microwave
Topic 08, nonlinear response signals linear time measuring spectral identification presence harmonic fast distortions distortion accurate approximation function variance models modeling functions
Topic 09, thermal transfer ac-dc standard bridge converters converter precision cryogenic resistors high thin-film standards high-voltage resistance comparator capacitance 100 frequencies inductive
Topic 10, permittivity dielectric microwave materials complex moisture ghz measuring properties impedance waveguide broadband coaxial line content determination small frequencies resonator from
Topic 11, optical fiber laser fiber-optic pressure temperature study novel diode transfer rate optic transducer displacement velocity self-mixing sensitivity flow liquid absorption
Topic 12, accuracy study effects errors source sampling delay timing comparative assessment point maximum time phase dft techniques error methods performance oscilloscope
Topic 13, antenna low-cost channel radio wideband novel gps signals mimo time-domain measuring accurate radar applied test propagation applications setup methodology modified
Topic 14, test adc testing histogram gain performance stability software electromagnetic distribution procedure modulators inductance platform error study wideband coil phase compensation
Topic 15, its application two temperature methods sources novel optimal comparison between generator low phase algorithm very effects impedance force measure hardware
Topic 16, test analog circuits fault diagnosis built-in detection automatic automated testing embedded electronic equipment mixed-signal vlsi instrument selection parametric space techniques
Topic 17, network dynamic model error modeling analyzer nonlinear vector harmonic compensation from performance simple phasor application measured correction scheme input humidity
Topic 18, tracking kalman mobile robot filter neural networks control localization real-time navigation fusion robots sensing position robust indoor network recognition motion
Topic 19, standard josephson standards programmable comparison atomic arrays optical reference balance bipm watt development primary from clock waves between results junction
Topic 20, microwave imaging near-field model temperature novel nondestructive detection electromagnetic probe structures properties materials ultrasonic water light techniques dielectric reconstruction high-resolution
Topic 21, resistance silicon hall quantized determination quantum single standards devices constant avogadro density comparison precision capacitance progress standard effects optical project
Topic 22, wireless networks smart applications control synchronization performance distributed network communication ieee architecture efficient quality monitoring implementation distribution framework industrial time
Topic 23, instrument monitoring under conditions virtual energy nonsinusoidal experimental quality real-time harmonic tool transformers electrical wireless device integrated study consumption acquisition
Topic 24, converters testing a/d converter dynamic analog-to-digital nonlinearity improved measuring modeling domain jitter adc signals uncertainties high-resolution spectral without static time
Topic 25, special section ieee editorial guest international instrumentation standard processing advanced technology applications workshop future methods uncertainty medical issue ultrasound 2011
Topic 26, virtual environment remote testing performance communication instrumentation laboratory improving experiments distributed devices device circuit electronic implementation applications haptic protection experiment
Topic 27, gas dynamic sensing modeling flow low-cost inertial techniques range applications experimental use control unit acquisition during fusion ultrasonic electronic development
