Topic, Top Terms
Topic 00, algorithm convergence discrete allocation machines time spectral efficient optimization heterogeneous network averaging simulation estimators approximation resource applications problems sequential general
Topic 01, solution matrix equation iterative riccati new bounds equations learning algebraic generalized periodic lyapunov based continuous-time constraint inequalities upper error degree
Topic 02, consensus communication multi-agent random over quantized packet synchronization delays mean switching asynchronous continuous-time square topology topologies time-varying directed convergence rate
Topic 03, conditions controllability sufficient time-varying necessary observability condition reachability criterion equivalence sampled-data switched coupled dissipativity planar lmi convergence parameter dynamical perspective
Topic 04, kalman filtering filter filters extended error gaussian numerical properties algorithms realization observations descriptor intermittent estimator graph two-stage integrated environments noise
Topic 05, dynamic perturbed problems set singularly routing hybrid dynamical games equilibria programming based finite-time minimal behavior parameterized nash correction optimality continuous
Topic 06, markov processes horizon finite decision receding constrained cost continuous-time jump chains time controlled average optimization principle regulator robotic controls separation
Topic 07, results further controllers uncertainties vector decentralized transient single comments functions performance parametric closed-loop subspace time-varying asymptotic variance queues discretization shaping
Topic 08, discrete event decentralized supervisory discrete-event synthesis diagnosis partially strong selection probabilistic verification hierarchical nonblocking abstractions modular driven parallel supervisors diagnosability
Topic 09, time-delay delay new lmi some neural uncertainty improved exponential functional network interval dynamical neutral feedforward remarks congestion criteria delay-dependent results
Topic 10, over channels properties wireless power communication sensor theory constraints channel limitations fundamental gaussian applications transmission hamiltonian energy hysteresis presence actuator
Topic 11, models based observer [book review recursive observers order information approximate general scheme flow sampling maximum framework state-space algorithms reduction decomposition
Topic 12, time-varying unknown dynamic input under delays switched constraints integral backstepping theorem delay switching input-to-state compensation presence interconnected arbitrary small regulation
Topic 13, graphs application phase relative mimo structured uncertainty stable logic robustness system performance finite-time prediction regions complex nonminimum high randomized temporal
Topic 14, global tracking asymptotic hybrid input mechanical saturation affine piecewise regulation linearization system uniform high-order actuator passive part smooth velocity underactuated
Topic 15, petri nets scheduling policies framework modeling friction through bounded unified timed active compensation robot manipulators wireless deadlock allocation avoidance traffic
Topic 16, optimization system convex algorithms models dynamic approximation method complexity methods perturbation markov note product simultaneous bias computational least squares gradient
Topic 17, sliding mode periodic mpc parameter bounded disturbances subject controller lpv actuators lmi-based integral saturating signal input parameters reference algorithm constrained
Topic 18, controllers controller stabilizing delay inputs computation mimo output-feedback space synthesis pole plants method polynomial gain pid sampled-data unknown time computing
Topic 19, under sensor mobile agents information noise decentralized local formation measurement coordination polynomials parameterization problem partial structures nonholonomic strategies network multi-agent
Topic 20, fault application its detection applications motion principle vehicle observer-based mobile assignment autonomous spatially robots isolation invariance dynamical parametric lagrangian switched
Topic 21, performance structure tracking variable exact learning multivariable lti problem matching path between matrix lemma repetitive unknown method nonparametric without robots
Topic 22, disturbance frequency system response sliding-mode domain noisy descriptor second-order data input-output hammerstein single impulse under wiener time infinite-dimensional rejection controller
Topic 23, dynamics quantum case stable hybrid sets theory invariant zero unstable transfer reduction plant balanced internal general symbolic observers generalized stabilizing
Topic 24, multiple switched networked time observer delays delayed measurements form attitude from tracking cooperative homogeneous moving stabilizability mixed dynamical sampled target
Topic 25, positive comments reply authors real new matrix their spectral rational nonlinearities [to factorization direct bounded continuous-time nonsmooth lmis multipliers [with
Topic 26, problem singular predictive problems quadratic optimization reduction regulation new application constrained explicit method solutions technique generalized approximation value decoupling controller
Topic 27, lyapunov functions issue scanning function constrained quadratic production system characterization laws polynomial stable special switching test strict under manufacturing scheduling
Topic 28, switching differential boundary markovian jump equations equation exponential bilinear delay observation coupled solutions almost numerical filtering discontinuous variables strategy hybrid
