Topic, Top Terms
Topic 00, converter voltage current source three-phase novel matrix inverters high dual inverter pwm techniques rectifier vector strategy logic study multilevel modulation
Topic 01, development fuzzy novel smart from new method technology grid measurement signal classification controllers high-speed robot architecture environment reduction time-triggered modeling
Topic 02, flexible manufacturing petri automated access nets via building modeling continuous hierarchical industry services operations schemes vehicles remote security qos measurements
Topic 03, optimal under power grid supply chains dsp-based hybrid logic active voltage constraints rfid stochastic ethernet synthesis environment hard probabilistic clustering
Topic 04, protocol algorithm adaptive automatic integrated robust new code fuzzy generation operating linear remote function semantic support clustering switched redundancy qos
Topic 05, algorithms adaptive energy-efficient mobile improved sensors coverage strategies power-aware decentralized field configuration selection interface grid remote functional synthesis clustering internet
Topic 06, reconfigurable service enterprise model-based fault-tolerant verification methodology fpgas tools machine fpga-based configuration three-phase time-triggered functional clustering reliable learning ethernet redundancy
Topic 07, information technologies engineering traffic factory supply chain semantic software requirements recognition internet assessment considering selection space support environment learning ethernet
Topic 08, nonlinear dynamic sliding mode compensation approach discrete modes sliding-mode disturbance motion motors discrete-time servo variable function reliable qos ethernet scalable
Topic 09, process data-driven modeling approach prediction robust evaluation surface heterogeneous approaches recognition quality fuzzy soft operation state tolerance probabilistic ethernet defect
Topic 10, power embedded optimization technique efficiency verification testing approach safety virtual low framework fuzzy operations decision formal hierarchical environments space functional
Topic 11, scheme web processes integration stability linear voltage software factory services composition support motion switched stochastic measurements ethernet qos redundancy tracking
Topic 12, approach networked framework estimation state feedback cyber-physical business online probabilistic remote synthesis measurements scalable dsp-based redundancy ethernet tracking security industry
Topic 13, architecture embedded integration software processing neural automotive actuator service-oriented intelligent infrastructure visual over efficient robot vision scalable hard stochastic ethernet
Topic 14, distribution methods human time energy task area framework reconfiguration response support service-oriented reliable stochastic security functional ethernet hard switched probabilistic
Topic 15, pmsm direct operation drive torque set speed part fpga-based modeling field efficient environment ethernet probabilistic switched redundancy sensorless scalable time-triggered
Topic 16, active inverter multilevel method phase photovoltaic three digitally damping single-phase distribution modulation hybrid generalized power ethernet reliable controlled clustering functional
Topic 17, power study load architectures factor simple estimation comparative comprehensive variable selection planning current rectifier single-phase motor time-triggered remote synthesis neural
Topic 18, multi-agent strategy switching grid-connected delay solution uncertain reduction topology discrete-time improved under security measurements redundancy stochastic ethernet switched hard scalable
Topic 19, intelligent its algorithm video fast motion mobile robots through dynamic decision parallel prediction grid remote power functional ethernet qos security
Topic 20, survey multiple environments resource routing ieee issues protocols generalized radio allocation time technique manufacturing environment matrix qos quality swarm reliable
Topic 21, optimization rfid swarm particle comparison service optimizing parallel algorithm planning composition manufacturing schemes considering constraints learning scalable security time-triggered enhancement
Topic 22, motor fpga drive induction controlled speed synchronous tracking neural sensorless permanent rotor position adaptive machines torque current servo machine enhancement
Topic 23, models improving synchronization time constraints over can fpga-based synchronous machine ethernet synthesis vision soft clustering security time-triggered learning switched redundancy
Topic 24, electrical online identification monitoring drives hybrid experimental tool through strategy estimation interface energy learning remote clustering hard active probabilistic reliable
Topic 25, smart grids power electric vehicles intelligent demand optimal simulation hierarchical building load energy response semantic large-scale flow time measurements time-triggered
Topic 26, data efficient scheduling method energy forecasting topology ieee flow monitoring fault interface business ethernet scalable hard measurements remote reliable time-triggered
Topic 27, iec formal 61499 execution review part standard state-of-the-art towards modeling function intelligent framework security reliable remote functional redundancy time-triggered environment
Topic 28, editorial guest special part electronics computing embedded power networked industry cyber-physical enterprise radio ethernet soft controllers power-aware hard reliable identification
Topic 29, fault detection diagnosis tolerance sensing defect decentralized large-scale redundancy method qos cyber-physical ethernet hard scalable switched security signal classification experimental
