Topic, Top Terms
Topic 00, framework statistical fusion performance three-dimensional robust deformations probabilistic constrained cardiac through atlas spatially identification multimodal unified varying patch-based level mouse
Topic 01, neural lung automated chest network classification radiographs pulmonary airway scans computer-aided computed colonography based artificial nodules radiography networks polyps low-dose
Topic 02, planning visual space validation based learning new neurosurgery structures head x-ray similarity combination two heart dynamic scheme retrieval b-mode algorithms
Topic 03, microscopy observer fluorescence roc three-class cell human under performance ideal observers optimization framework signals tissue curves area systems surface tracking
Topic 04, emission information noise maximum likelihood mutual algorithms transmission regularization prior weighted comparison maximization positron direct scans penalized correction through anatomical
Topic 05, bone parallel fast resolution high design spectral rapid k-space computed regularized gradient accelerated excitation constraints texture class arbitrary trabecular trajectories
Topic 06, dynamic medical parameter compression wavelet methods joint fast adaptive linear least based bayesian models squares contrast-enhanced filter parametric functional denoising
Topic 07, field random phase markov error multislice correction fields temporal fiducial bias statistical detector distribution localization improved point-based conditional investigation anisotropic
Topic 08, surface sparse particle cortical via learning spherical object representation recovery signal x-ray deformation morphometry filtering harmonic resolution dictionary integrated localization
Topic 09, cardiac left ventricular modeling three-dimensional myocardial deformation quantification function study elastic ventricle via ablation echocardiography growth atrial noninvasive regional tracking
Topic 10, correction resonance intensity based distortion geometric attenuation inhomogeneity density joint current review artifacts nonrigid maps via digital epi functional retrospective
Topic 11, tracking active models automated deformable sequences medical shape contour based artery model-based coronary contours appearance robust fully shape-based video set
Topic 12, evaluation beam iterative inverse problem exact algorithms projection cone-beam cone backprojection boundary filtered medical helical methodology numerical rebinning forward solution
Topic 13, fmri spatial modeling functional adaptive mixture activity subspace bayesian activation resonance characterization series noise structural signal time complex study networks
Topic 14, flow blood contrast visualization novel coronary arterial technique 2-d mapping digital measurement angiograms based cardiac clinical doppler labeling dynamics enhanced
Topic 15, impedance electrical shape anatomical surfaces statistical volume graph priors cortex structures measurement novel variation matrix optimal resonance monitoring changes cerebral
Topic 16, methods comparison tomographic quantitative evaluation computed three-dimensional compensation spiral iterative properties x-ray model-based sampling noise interpolation fully efficient statistical resolution
Topic 17, real-time assessment information new tracking human quality encoding scanner simulation evaluation highly undersampled system endoscopic heterogeneous effects photoacoustic specific synthetic
Topic 18, deformation shape models spect myocardial perfusion modeling statistical nonrigid dynamic diffeomorphic based phantom gated 4-d emission mapping large cardiac applied
Topic 19, retinal optical vessel coherence vessels optic fundus color extraction automated human disc filter fuzzy retina measures based digital blood supervised
Topic 20, x-ray angiography system spect coronary pinhole geometric projection calibration sensitivity cerebral cone-beam small evaluation single models determination rotational modeling deformable
Topic 21, validation virtual system visualization surgery computational guidance its image-guided intraoperative breast augmented clinical methods theory prostate results interventional interventions bronchoscopy
Topic 22, optical system measurements sensing compensation transmission compressed domain spect accurate effect rigid time incorporating iterative estimating prediction point parameters volumetric
Topic 23, diffusion tensor matter white tractography dti structure applications fiber probabilistic multiple framework nonparametric distributed function uncertainty orientation via continuous identifying
Topic 24, breast cancer mammograms digital diagnosis computer-aided mammography editorial prostate tumor guest masses tissue microcalcifications mammographic system automated special texture multiple
Topic 25, classification based feature characterization volumetric resonance extraction vector dynamic optical selection breast vasculature novel hybrid algorithms multispectral quantifying lesions adaptive
Topic 26, vivo mapping elastography finite wave local shear element human tissues resonance soft conductivity measurements displacement velocity simulation heart tissue decomposition
Topic 27, medical based enhancement adaptive wavelet transform fast multiscale processing real-time reduction radial resonance artifact robust speckle frequency nonlinear local new
Topic 28, volume accuracy partial tissue study new classification quantification lesions multiple lesion skin sclerosis region assessment histological presence therapy voxel plaque
