Topic, Top Terms
Topic 00, noise uwb gaussian signals communications presence impulse detectors optimum ultra-wideband radio narrowband receiver signal non-gaussian spectrum impulsive digital pulse multipath
Topic 01, frequency ofdm phase carrier signals offset joint blind timing synchronization recovery continuous noise cramer-rao cpm iterative presence low-complexity bound domain
Topic 02, antenna mobile capacity cellular antennas system communications array efficiency arrays radio processing transmit impact multiuser large scheduling receive space-time selection
Topic 03, relay relaying cooperative multiple network selection capacity outage two-way beamforming amplify-and-forward tradeoff probability decode-and-forward gain opportunistic under broadcast optimal gaussian
Topic 04, bound minimum bounds capacity distance ieee upper improved probability problem link based simple simplified adaptation lower random resolution number throughput
Topic 05, multiple orthogonal trellis keying shift access coded code division frequency receiver techniques multiplexing space reduced-complexity multilevel time phase space-time combined
Topic 06, space-time coded block iterative turbo trellis code orthogonal cooperative complexity noncoherent partial joint based low signal near-capacity low-complexity bit-interleaved constellation
Topic 07, power allocation distributed control cognitive network radio dynamic resource cooperative joint energy relay optimal approach spectrum cellular optimization routing hoc
Topic 08, timing synchronization symbol recovery signal two jitter comparison techniques data optimal frame processing between system joint kalman parameter digital bit
Topic 09, ldpc based parity-check low-density iterative algorithms binary protection low unequal construction linear algorithm propagation quasi-cyclic cyclic irregular convolutional complexity nonbinary
Topic 10, combining correlated rayleigh selection sampling nakagami ratio generalized simulation importance ber cellular system outage asymptotic nakagami-m average model rate mrc
Topic 11, maximum sequence likelihood method new correction comments sequences distribution rician novel applications nonblocking trellis-coded rearrangeable reply algorithm intersymbol generation representations
Topic 12, arq hybrid scheme schemes data control communications packet protocols protocol high rate burst bandwidth evaluation efficient generalized system throughput redundancy
Topic 13, rayleigh differential signals probability optimum noncoherent reception coherent space-time combining correlated psk dpsk mpsk m-ary binary block generalized rician signaling
Topic 14, equalization linear decision feedback frequency-selective blind multipath equalizers algorithms nonlinear sequence new based multiuser via equalizer time-varying algorithm robust turbo
Topic 15, spread-spectrum multiple-access direct-sequence radio packet communications code system jamming spread spectrum frequency-hopped multipath acquisition frequency slotted noncoherent rayleigh fast slow
Topic 16, phase digital noise satellite mobile effects nonlinear signals ofdm communications presence loop errors modeling effect data radio distortion tracking system
Topic 17, feedback information spectrum power multiuser cognitive radio allocation sensing optimal beamforming downlink scheduling limited state imperfect control rate broadcast sharing
Topic 18, digital equalization data echo signals response convergence cancellation subscriber optimum analog techniques blind crosstalk partial multicarrier cochannel noise radio loops
Topic 19, convolutional viterbi algorithm concatenated turbo reed-solomon trellis decoder soft code decoders punctured new iterative parallel construction efficient architecture product memory
Topic 20, quantization vector image joint source-channel compression transform algorithm data fast block images sources noisy source optimal video based markov variable-length
Topic 21, power ofdm reduction efficient allocation spectral rate multicarrier optimization signals optimal precoding scheme coded multiuser method new bandwidth application discrete
Topic 22, multiuser ds-cdma receivers asynchronous linear communications acquisition receiver multicarrier cancellation mmse suppression coded detectors blind multipath ds/cdma detector synchronous system
Topic 23, multiple algorithm access algorithms assignment distributed efficient fiber its applications theory application scheme communications time parallel satellite switching general protocol
Topic 24, rate evaluation signal probability bit based model method approach density probabilities rates analytical exact gaussian new schemes receivers approximation variable
Topic 25, packet network traffic switching atm switch control routing delay multicast queueing scheduling system under switches high-speed wdm modeling architecture integrated
Topic 26, distribution random gaussian bounds application applications sequences correlated new generalized sum its correlation function complex sources variables from binary computing
