Topic, Top Terms
Topic 00, pressure blood flow intracranial assessment multiscale brain noninvasive arterial automated challenges computer-aided identification dynamic quantification regulation after function comparison engineering
Topic 01, design mri prosthesis through novel monitoring sensing interface data sensors resonance power neural use optical gastrointestinal real-time powered coil prosthetic
Topic 02, neural network networks activity epileptic information dynamics recordings cortical seizure automatic functional neuronal connectivity learning function artificial gene data seizures
Topic 03, tissue electrode biological myocardial robotic ischemia simulations electroporation defibrillation needle contact bidomain influence impedance conductivity measuring efficient guidance finite-element cells
Topic 04, breast microwave tissue cancer tumor temperature skin thermal statistical coupling cells characterization bioimpedance distribution lesions simulation properties heating radiation communication
Topic 05, bci tracking eye identification normal wave microscopy implants movement novel spatial power optimal dependence accurate techniques measurements improve cochlear interference
Topic 06, laser surface perfusion insertion implanted induced rat technique performance force high assessment silicon waveforms coils doppler head cerebral simulation stability
Topic 07, brain-computer results capsule visual interfaces interface adaptation experimental theoretical preliminary endoscopy multiple phase frequency parameter wireless pulses vocal bipolar ssvep-based
Topic 08, ventricular novel vector support sleep apnea dynamic data quantification disease mode pulmonary clinical left rhythm closed-loop activation obstructive movement sensitivity
Topic 09, time electrode glucose series noninvasive pulse blood ultrasound electrodes array characterization vitro catheter oxygen measurement cuff muscles predicting domain transducer
Topic 10, evoked potentials cochlear entropy noise neurons auditory implant arrays pulse threshold cortical neuron nonlinear changes morphology adaptive arterial circuit extracellular
Topic 11, implantable development device integrated monitoring continuous wireless multichannel evaluation devices model-based interface sensor brain respiratory recording deep mathematical parametric portable
Topic 12, element finite knee volume joint new measurement simulation stiffness parallel aortic properties kinematics inverse effect design robot gait conductivity forward
Topic 13, atrial fibrillation artifact ecg motion component removal independent quantification activity mapping artifacts surface noise methods cancellation data electrograms physical measured
Topic 14, signal wavelet transform biomedical surface processing movements applications multiscale special editorial issue multichannel spike order neural nonstationary computational finger medicine
Topic 15, mri its reduction coherence field lung frequency care dynamic function spectroscopy interference principal data range time-varying source low-frequency component index
Topic 16, recognition optimization emg myoelectric decomposition acoustic pattern automatic walking fluorescence limb upper improving correlation use inertial single force digital fast
Topic 17, ultrasound real-time vivo systems drug brain phantom optical monitoring delivery spectral doppler direct reduction transcranial measurements fluid sensor measurement applications
Topic 18, ecg compression algorithm automated disease data linear features monitoring quality modified assessment body parkinsons ambulatory heartbeat wavelet-based point t-wave alternans
Topic 19, experimental design under phase vivo effects blood characterization vitro gradient low mechanical validation peripheral numerical conditions synchronization ratio coupling investigation
Topic 20, segmentation feature brain features fuzzy local automated mri patterns extraction hybrid prediction robust applied level cancer into selection simultaneous set
Topic 21, potential surface muscle action emg spatial effect potentials unit motor conduction velocity new event-related electrode distribution geometry noninvasive filters responses
Topic 22, tomography impedance reconstruction optical current 3-d ablation realistic head measurement spectroscopy three-dimensional coherence regularization density measurements resonance improved fluorescence means
Topic 23, source localization separation blind sounds data selection signal representation sparse electrocardiogram parameters constrained fmri spatio-temporal deconvolution identification gaussian versus time-frequency
Topic 24, electric fields evaluation field simulation novel platform induced body performance high-frequency cell due comparison interactions electronic role health biphasic mapping
Topic 25, image 3-d registration reconstruction automatic ultrasound medical correction new algorithm intensity distortion data sequences segmentation tissues spine 2-d three-dimensional navigation
Topic 26, heart rate variability nonlinear respiratory fetal dynamic signal different effects sleep contractions frequency characteristics robust sound identification parameters exercise improved
Topic 27, recording nerve neural effects microelectrode array small prediction properties early fiber tumor center geometric stochastic theory tissue sequential humans stimulus
Topic 28, surgery retinal invasive vascular minimally treatment simulation spinal surgical flexible virtual toward hyperthermia needle physiological design tool skin polymer clinical
Topic 29, adaptive bayesian extraction filtering inverse motion filter tracking fetal kalman problem ecg algorithm data nonlinear performance noninvasive methods recordings signal
