Topic, Top Terms
Topic 00, human vivo shear editorial breast wave geometric finite guest soft tumors element elastography elasticity special tissues high-resolution characterization tissue fiber
Topic 01, cardiac bone modeling interventional c-arm x-ray image-guided dynamic functional 4-d distribution ablation during neurosurgery interventions perfusion enhanced procedures assessment trabecular
Topic 02, random field structures interpolation mammograms based markov fields medical methods surface microcalcifications multiscale hierarchical tumor comparison use classification datasets conditional
Topic 03, optical emission spect coherence positron attenuation sequences acquisition myocardial perfusion correction maximum dynamic gated likelihood simultaneous time-of-flight extraction geometry spectroscopic
Topic 04, volumetric wavelet medical pulmonary based transform visual evaluation compression vector texture disease measures correlation nodules new coding their morphology retrieval
Topic 05, volume partial mapping local lesion quantitative effects quantification voxel effect resonance lesions tissue contrast patterns accuracy heart sclerosis presence characterization
Topic 06, tracking 2-d real-time phase regularized identification system strain coronary myocardial three-dimensional vivo framework measurement coupled elastography artery tagged theoretical arteries
Topic 07, system diffusion nonlinear spatial applications mixture tensor matter modeling functional hybrid resonance white domain distributions dti prior inference speckle nonparametric
Topic 08, multiple x-ray framework functions quantification via unified coil sensitivity variation transmission determination inversion regularization excitation constraints pinhole decomposition analytic selective
Topic 09, medical anatomical resonance surfaces angiograms geometric graph theory airway morphological adaptive decomposition thoracic region cortical robust imagery compression based optimal
Topic 10, models active shape automated surface flow based structure contours appearance diffeomorphic lesions skin mapping set medical development statistical three-dimensional level
Topic 11, correction deformable accurate automated model-based cortex improved distortion point tracking field new vasculature models maps human bias array information estimating
Topic 12, optimal performance neural network statistical fusion three-class roc encoding nonrigid ideal observers framework aortic artificial cardiac through observer forward probabilistic
Topic 13, virtual visualization validation dynamics planning computational guidance carotid new towards b-mode cardiac velocity rate heart simulation head bronchoscopy combination endoscopy
Topic 14, resolution particle algorithms high diffusion priors object assessment fmri tumor dynamic multiple regularization compressed growth activation likelihood sparse spatial quality
Topic 15, x-ray projection computed evaluation comparison coronary design small rigid performance animal filter time intensity optimization angiography between noise calibration pulse
Topic 16, breast digital cancer prostate computer-aided classification automated diagnosis contour techniques feature color mammography assessment matching density mammograms colonography based masses
Topic 17, left ventricular regional model-based based echocardiography tracking sequences cardiac multislice applied function fusion ventricle real-time tool echocardiographic statistical heart framework
Topic 18, tissue cone-beam bayesian networks novel classification exact deformations inverse problem helical filtered fourier backprojection modeling rebinning efficient numerical characterization solution
Topic 19, blood flow visualization transmission comparison cerebral quantitative arterial least studies fast objective squares efficient changes speckle during weighted doppler contrast
Topic 20, electrical impedance dynamic resonance tomographic parameter contrast-enhanced three-dimensional constrained geometry breast novel technique means radiographs biopsy knee array kinetic objects
Topic 21, based study deformation simulation phantom reduction nonrigid system intraoperative large clinical calibration smoothing artifact scatter transformation surgery molecular computer monte
Topic 22, shape statistical modeling lung sparse surface direct based scans chest cortical generalized local learning spherical parametric statistics harmonic radiography digital
Topic 23, fast adaptive joint via filtering parallel signal enhancement optical space resonance diffuse weighted algorithms noise algebraic methods multiscale separation implementation
Topic 24, iterative compensation fully spect computed measurements systems system resolution noise tomographic methods eit emission penalized-likelihood measurement design optimization matrix properties
Topic 25, new beam evaluation algorithms spiral processing guided study cone error video radiation fiducial anisotropic interpolation medical volume scan target therapy
Topic 26, correction information diffusion based methods tensor angiography technique mutual intensity artifacts nonrigid estimating treatment inhomogeneity aneurysm subtraction retrospective digital tractography
Topic 27, retinal robust vessel vessels optic boundary extraction disc its fundus filter edge methodology shift fetal camera blood matched decomposition measures
Topic 28, fmri microscopy clustering fluorescence functional adaptive time cell activity fuzzy tracking localization improved series under response structural based spatio-temporal programming
