Topic, Top Terms
Topic 00, intelligent approach online synchrophasor measurements customer resource game real-time phase utility transient short-term multiple time virtual locating concept improved multiagent
Topic 01, state estimation monitoring part application loads theory appliance techniques buildings classification thermal information cyber-physical wide-area electronic substations neural household implementation
Topic 02, penetration coordinated high photovoltaic voltage distributed sizing mitigation schemes electrical under feeders markets loads regulation thermal reduction multiple restoration households
Topic 03, algorithm distributed voltage grids low automatic regulation fast charging strategies islanding between faults feeders applications sizing autonomous restoration quality architecture
Topic 04, wireless advanced stability communications metering identification assessment efficient enhancement phase solar sensor sensors tool quality secondary protocol automation development unified
Topic 05, forecasting adaptive novel hybrid pmu hourly term model converter models utility placement restoration sensor current time multiagent trading privacy synchronous
Topic 06, scheme monitoring its area transmission wide application line communications model communication performance over data study sensors lines authentication comparison algorithms
Topic 07, optimization home pricing real-time price residential electricity model dynamic stochastic statistical modeling under prediction privacy household markets methodology appliance demand-side
Topic 08, operation strategy integration intelligent battery compensation use effects level sizing synchronized new short-term markets reduction utility future synchronous iec methodology
Topic 09, considering charging modeling transformer design data connected pev curve flexible phasor enabled optimizing unified phase level investigation multiagent trading their
Topic 10, active through ancillary services secondary domestic environment primary curtailment profile support enhancement future meter household market online quality investigation reduction
Topic 11, frequency regulation from islanding phasor capacity fuzzy large distributed estimation signals transient synchronous plug-in improved harmonic development household virtual multi-objective
Topic 12, impact reliability optimization constraints charging consumption stochastic phev supply vehicle-to-grid unit autonomous integration household demand-side automation future restoration optimizing improved
Topic 13, grids secure infrastructure towards implementation attack approach empirical planning future investigation fuzzy automation key concept meter their multi-objective multiple architecture
Topic 14, vehicle-to-grid dynamic technology mobility integrating behavior simulation electrical vehicle regulation new resource study schemes improved protocol iec authentication utility key
Topic 15, protection assessment attacks coordination data impacts injection against grids solar automation distributed tool neural challenges utility multiple privacy protocol markets
Topic 16, data electricity centers internet predictive dynamic large-scale consumption distributed center through technique household methodology supply demand-side attack game utility damping
Topic 17, residential decentralized appliances centralized controlled balancing selection households reactive comparison household feeders their sensor strategies automation demand-side synchronous enhancement level
Topic 18, generators evaluation grids probabilistic high dynamic information flow measurement phasor reliability study implementation voltage fault wide-area virtual optimization dispatch hourly
Topic 19, market electricity agent-based support buildings optimized local bidding from models markets aggregation utility simulation virtual architecture optimizing concept trading game
Topic 20, applications special section guest editorial algorithms technology optimization technologies forecasting architecture new dispatch privacy their enabled future environment electronic real-time
Topic 21, detection fault method transmission location lines locating unit measurements hybrid faults transient investigation learning substations technique quality time phasor restoration
Topic 22, vehicle plug-in charging hybrid economic performance evaluation scalable prediction modeling algorithm profile dispatch side large-scale interaction iec use key investigation
Topic 23, v2g controller building autonomous vehicle into integrated electrical authentication over appliance virtual household converter schemes architecture utility economic trading optimizing
Topic 24, voltage real-time framework security grids technologies data critical improve aggregation design dispatch primary attack predictive architecture multiagent decentralized key quality
Topic 25, robust via approach hybrid side dynamics structure ac/dc interaction learning frequency game multi-objective mitigation primary short-term converter demand-side optimizing future
Topic 26, devices flexible operations study case flow planning center electronic curtailment challenges placement communications future capacity improved multi-objective information demand-side concept
Topic 27, under design wide-area stochastic uncertainty utilization reliability improving requirements islanded approach future reduction damping current customer harmonic planning challenges quality
Topic 28, communication design hierarchical infrastructures measurement wams cyber-physical between synchronized empirical comparison supply effects utility damping consumption multiple development restoration current
Topic 29, distributed resources renewable dispatch islanded optimization services integrated future architecture intelligent demand-side sensor short-term multiple restoration reduction between methodology information
