Topic,Top Terms
Telecommunications,hardware compression high-performance partitioning online support image processing method algorithm loops evaluation security information services fault attacks shared multiprocessors robust
Social Issues and Practice-1,body recognition physical monitoring area activity sensors multiple devices tool device energy-efficient mac selection reconfigurations processing hierarchical smart reliable multiprocessors
Image Processing,energy-efficient allocation techniques task variable hard optimal coalescing processor dynamically schedulability compositional multiprocessor processing low-cost probabilistic buffer computation graphs stream
Image Processing-1,modeling integration virtual towards trade-offs under thread parallelism method over scalable i/o probabilistic theory nets processor computation hierarchical fault workload
Telecommunications-1,distributed secure routing sharing localization reconfigurations computing schedulability hard smart processing scalable low-cost platform methodology programming thread lightweight based advanced
Social Issues and Practice-4,dynamic platforms video exploration vliw programs profiling support interactive services instructions over space evaluation controllers via workload fault scalable computation
Social Issues and Practice-5,cyber-physical fast programming networked devices tool introduction framework probabilistic compositional static packet methodology accurate over localization scalable via algorithm application-specific
Social Issues and Practice-6,mobile framework trade-off dynamic selection programming localization attacks communication robust model-driven methodology application-specific workload chip platform smart soc multiprocessors profiling
Bioinformatics-6,efficient implementation storage flash-memory reduction layer dsp size processor under evaluation communication devices thread protocol controllers over probabilistic methodology localization
Social Issues and Practice-7,cache java environment highly device processing garbage application-specific algorithm fpgas reduction low multiple protocol localization security interactive evaluation methods buffer
Social Issues and Practice-8,processors voltage low-power estimation dynamically optimal custom variable application-specific information packet thread scalable processing scratchpad algorithm processor evaluation instructions static
Telecommunications-2,introduction section multiprocessor exploration space system-on-chip advanced chip platform application-specific processing soc engineering probabilistic multiprocessors robust methodology shared smart platforms
Image Processing-3,based time instruction model analyzing petri caches checking nets communication thread protocol controllers sharing processors reliable fpga exploration security attacks
Social Issues and Practice-10,generation automatic programs from specifications systemc loop loops partitioning application reactive stream communication hierarchical via services evaluation tool graphs instructions
Telecommunications-3,performance constraints formal detection under soft specification i/o method deadlock reactive methods mac protocol methodology workload fpga reconfigurations information shared
Image Processing-5,assignment algorithms offset hard address register evaluation processor communication algorithm reconfigurations size buffer coalescing security tasks localization minimal variable method
Telecommunications-4,system applications operating exploiting compiler energy online interactive high-performance dsp processor application-specific engineering parallelism mac fault stream specification size java
Telecommunications-5,architectures reducing fpga implementations leakage vliw pipelined java environment parallel processing robust theory parallelism improving evaluation synthesis collection garbage hierarchical
Bioinformatics-14,heterogeneous energy-aware task computing register reliable coalescing policies reactive scheduling instructions video over communication engineering algorithm techniques parallelism shared probabilistic
Social Issues and Practice-13,efficient technique parallel simulation instruction-set distributed computing estimation over deadlock methods improving model-driven fpgas algorithm hierarchical reduction size workload processing
Telecommunications-6,editorial guest configurable computing algorithms hardware security model-driven soc exploration space cache engineering parallelism low highly introduction shared probabilistic fpgas
Telecommunications-7,scheduling models synchronous flow tasks scratchpad minimal graphs nets static security processor improving smart algorithm via information hierarchical buffer lightweight
Image Processing-7,flash hybrid scheme translation layer algorithm lightweight address abstraction buffer security smart under fault attacks localization information probabilistic deadlock compiler
Bioinformatics-19,study system-level case computing power-aware accurate fast smart unified soc methodology power modeling engineering shared profiling exploration parallelism fpgas probabilistic
Image Processing-8,verification petri refinement safety nets abstraction deadlock hybrid localization via specification fault controllers computation application communication dynamically security introduction systemc
Telecommunications-8,energy cache tasks loops partitioning reconfiguration low highly leakage workload runtime java via processing improving environment packet detection parallelism i/o
Telecommunications-9,applications mapping scheduling mpsocs streaming application dynamic policies unified robust reconfigurations reliable buffer profiling methodology specifications computation multiprocessors workload algorithm
Telecommunications-10,synthesis instruction multicore execution model pipelined checking caches analyzing robust theory reactive schedulability computation multiprocessors attacks lightweight processors processing custom
Image Processing-10,power runtime efficiency reconfiguration through on-chip communication static algorithm computation fpgas parallelism reconfigurations controllers compiler improving probabilistic profiling fault attacks
