Topic,Top Terms
Machine Learning,terms topic_id
Algorithms,terms topic_id
Software Engineering,terms topic_id
Software Engineering-1,terms topic_id
Software Engineering-2,terms topic_id
Information Retrieval,terms topic_id
Information Retrieval-1,terms topic_id
Machine Learning-1,terms topic_id
Information Retrieval-2,terms topic_id
Software Engineering-3,terms topic_id
Platform-based Development,terms topic_id
Platform-based Development-1,terms topic_id
Information Retrieval-3,terms topic_id
Information Retrieval-4,terms topic_id
Embedded Systems,terms topic_id
Information Retrieval-5,terms topic_id
