Topic,Top Terms
Human Computer Interaction,terms topic_id
Logic and Inference,terms topic_id
Metaheuristics,terms topic_id
Computer Architecture,terms topic_id
Algorithms,terms topic_id
Logic and Inference-1,terms topic_id
Embedded Systems,terms topic_id
Embedded Systems-1,terms topic_id
Metaheuristics-1,terms topic_id
Computer Architecture-1,terms topic_id
Discrete Structures,terms topic_id
Logic and Inference-2,terms topic_id
Social Issues and Practice,terms topic_id
Metaheuristics-2,terms topic_id
Machine Learning,terms topic_id
Logic and Inference-3,terms topic_id
Computer Architecture-2,terms topic_id
Soft Computing,terms topic_id
Machine Learning-1,terms topic_id
