Topic,Top Terms
Soft Computing,logic theory structure variable arithmetic means possibility designs index robustness tracking nonsingleton generalization discrete-event attitude similarity-based optimal measures decentralized handling
Algorithms,algorithms reasoning weighted genetic techniques rules rule-based discrete hierarchical efficient average type relational transformation interpolative sparse generating component comparison values
Software Engineering,estimation measures risk process generalized hierarchy integrated numbers similarity development granularity performance analytic assessment error optimization law games matrix prediction
Natural Language Processing,neuro-fuzzy image recognition detection identification segmentation generalized defuzzification markov random hidden handwritten hybrid resolution some word logic classifier rules robotics
Natural Language Processing-1,method c-means its optimization improved knowledge pattern synthesis algorithm simulation inference gain convergence anfis into computational about generation partial machine
Machine Learning,linguistic representation computing words new set identification rough measure semantic plants 2-tuple interval-valued automata numerical mamdani generation similarity formal target
Algorithms-1,integral choquet comparison universal problem integrals applications discrete criteria type-1 sugeno properties statistical tool classification property study approximators multiobjective weighted
Image Processing,editorial dynamics special tracking fuzzy-based robot guest comments including game dynamic foreword enhancement motor section recognition network estimation hardware video
Machine Learning-1,selection classification genetic problems rule linguistic evolutionary multiobjective tuning hierarchical rules automatic algorithms space fuzzy-rule-based rule-based classifiers portfolio high-dimensional applied
Soft Computing-1,uncertain dynamic sliding chaotic time delays mode comments bounded wavelet synchronization event hierarchical active databases neuro-fuzzy correction its manipulators multiobjective
Robotics,network observer supervisory dynamical direct fuzzy-neural state human finite unknown robotic preference comments traffic machine environments reliability management inverse signals
Robotics-1,robot framework tracking qualitative mobile motion sliding-mode manipulators via applications stable petri logic robots autonomous power real-time visual architecture representations
Soft Computing-2,via observer-based decentralized takagi-sugeno stabilization dynamic output distributed feedback lmi multiple t-s large-scale output-feedback uncertainties generalized networked affine compensation discrete-time
Sensor Networks,reply comments authors [and rule filtering takagi-sugeno issues accuracy are approaches configuration strategic siso proposal characterization games comment linguistic why
Algorithms-2,linear piecewise functions programming predictive stable solving lyapunov equations ordered constrained behavior dynamic membership synthesis model-based parametric observer norms plant
Soft Computing-3,logic controllers concept optimal methodology new methods local global tsk method inference distance analytical pid comment evolution further adaptation theoretical
Soft Computing-4,hybrid linear case induction rule study evolutionary reinforcement network motor neurofuzzy drive speed decision input construction recurrent trees theory applications
Machine Learning-2,algorithm general computing granular soft enhanced algorithms set relation toward discovery performance centroid karnik-mendel reduction theory efficient convergence means fuzziness
Multimedia,from images digital mining simple large number noise mixed novel impulse database logic-based fast technique matching flexible reduction pattern selection
Machine Learning-3,operators decision intuitionistic relations aggregation making information preference interval-valued numbers group method atanassovs decision-making ranking intervals support heterogeneous their multiattribute
Soft Computing-5,t-s delay discrete-time stabilization time-varying stochastic novel delay-dependent sliding-mode scheme delays synthesis input uncertain time communication networked controllers under filter
Soft Computing-6,logic class feedback output mimo uncertainty reasoning tracking under expert backstepping unknown uncertain processes random disturbance dead reference approximate inputs
Numerical Methods,aggregation owa from continuous variables set weights functions structures operations designing equations additive operator interpretation environment triangular level norms generalized
Numerical Methods-1,membership processing function functions interpolation differential values spaces information gaussian signal simultaneous parameters partial controllers filter representation fuzziness high-dimensional recognition
Machine Learning-4,rule from algorithm classification extraction reduction base rules complexity iterative classifiers knowledge decomposition implementation through parallel numerical extended feature constraints
Soft Computing-7,actuator fault intelligent fuzzy-model-based polynomial t-s performance sensor faults model-based takagi-sugeno fault-tolerant stochastic vehicle dynamic functions membership reliable discrete-time via
Metaheuristics,possibilistic approximation probabilistic information relational evaluation their error optimal detection algorithms shell queries boundary spaces guaranteed measures surface input fast
Soft Computing-8,takagi-sugeno class via new conditions stabilization relaxed quadratic t-s discrete function lmi-based time-delay uncertain matrix controllers continuous-time lyapunov constraints part
Machine Learning-5,cognitive optimization prediction complex maps time series forecasting implementation use method parameters extension note problems new map results multiple interactive
Machine Learning-6,network inference regression vector support new algorithm self-organizing recurrent classification its evolving dynamic problems online cluster multivariable rule-based parameter neurofuzzy
