Topic,Top Terms
Soft Computing,terms topic_id
Multimedia,terms topic_id
Algorithms,terms topic_id
Medical Computing,terms topic_id
Sensor Networks,terms topic_id
Natural Language Processing,terms topic_id
Medical Computing-1,terms topic_id
Multimedia-1,terms topic_id
Soft Computing-1,terms topic_id
Medical Computing-2,terms topic_id
Bioinformatics,terms topic_id
Circuits and VLSI design,terms topic_id
Circuits and VLSI design-1,terms topic_id
Multimedia-2,terms topic_id
Human Computer Interaction,terms topic_id
Image Processing,terms topic_id
Bioinformatics-1,terms topic_id
Robotics,terms topic_id
Robotics-1,terms topic_id
Information Retrieval,terms topic_id
Multimedia-3,terms topic_id
Soft Computing-2,terms topic_id
Image Processing-1,terms topic_id
Medical Computing-3,terms topic_id
Robotics-2,terms topic_id
Image Processing-2,terms topic_id
Medical Computing-4,terms topic_id
Medical Computing-5,terms topic_id
Medical Computing-6,terms topic_id
Medical Computing-7,terms topic_id
