Topic,Top Terms
Robotics,terms topic_id
Soft Computing,terms topic_id
Bioinformatics,terms topic_id
Soft Computing-1,terms topic_id
Soft Computing-2,terms topic_id
Robotics-1,terms topic_id
Soft Computing-3,terms topic_id
Machine Learning,terms topic_id
Soft Computing-4,terms topic_id
Soft Computing-5,terms topic_id
Soft Computing-6,terms topic_id
Optimization,terms topic_id
Software Engineering,terms topic_id
Optimization-1,terms topic_id
Circuits and VLSI design,terms topic_id
Telecommunications,terms topic_id
Soft Computing-7,terms topic_id
Networking,terms topic_id
Software Engineering-1,terms topic_id
Robotics-2,terms topic_id
Soft Computing-8,terms topic_id
Telecommunications-1,terms topic_id
Robotics-3,terms topic_id
Software Engineering-2,terms topic_id
Telecommunications-2,terms topic_id
Soft Computing-9,terms topic_id
Multimedia,terms topic_id
Robotics-4,terms topic_id
