Topic,Top Terms
Information Retrieval,terms topic_id
Computer Architecture,terms topic_id
Embedded Systems,terms topic_id
Metaheuristics,terms topic_id
Metaheuristics-1,terms topic_id
Software Engineering,terms topic_id
Software Engineering-1,terms topic_id
Software Engineering-2,terms topic_id
Platform-based Development,terms topic_id
Information Retrieval-1,terms topic_id
Embedded Systems-1,terms topic_id
Numerical Methods,terms topic_id
Embedded Systems-2,terms topic_id
Statistical Computing,terms topic_id
Information Security,terms topic_id
Software Engineering-3,terms topic_id
Bioinformatics,terms topic_id
Optimization,terms topic_id
Algorithms,terms topic_id
Optimization-1,terms topic_id
Soft Computing,terms topic_id
Information Security-1,terms topic_id
Bioinformatics-1,terms topic_id
Platform-based Development-1,terms topic_id
Statistical Computing-1,terms topic_id
Software Engineering-4,terms topic_id
Human Computer Interaction,terms topic_id
Information Retrieval-2,terms topic_id
