Topic,Top Terms
Soft Computing,terms topic_id
Machine Learning,terms topic_id
Circuits and VLSI design,terms topic_id
Multimedia,terms topic_id
Robotics,terms topic_id
Information Security,terms topic_id
Multimedia-1,terms topic_id
Numerical Methods,terms topic_id
Machine Learning-1,terms topic_id
Soft Computing-1,terms topic_id
Soft Computing-2,terms topic_id
Statistical Computing,terms topic_id
Multimedia-2,terms topic_id
Multimedia-3,terms topic_id
Soft Computing-3,terms topic_id
Circuits and VLSI design-1,terms topic_id
Machine Learning-2,terms topic_id
Robotics-1,terms topic_id
Image Processing,terms topic_id
Soft Computing-4,terms topic_id
Social Issues and Practice,terms topic_id
Social Issues and Practice-1,terms topic_id
Software Engineering,terms topic_id
Networking,terms topic_id
Circuits and VLSI design-2,terms topic_id
Machine Learning-3,terms topic_id
Multimedia-4,terms topic_id
Soft Computing-5,terms topic_id
Robotics-2,terms topic_id
Soft Computing-6,terms topic_id
