Topic,Top Terms
Image Processing,stimulator energy-efficient feedback electrode asic voltage inductive \mu{\rm amplifier prostheses pulse compact flexible neuron tissue front-end epileptic model fully development
Image Processing-1,recording activity electrical channel amplifier front-end programmable micropower biopotential low-noise approach acquisition powered fully reconfigurable neuron epileptic long-term compact chip
Telecommunications,detection networks based body wearable area robust soc signals powered filter parameter acquisition efficient biosensor approach asic electronic pulse dna
Telecommunications-1,real-time cell microfluidic platform pulse electrochemical chip manipulation parameter approach biosensor modeling lab-on-chip neuron application respiratory acquisition soc microsystem spiking
Social Issues and Practice-2,power active transmission inductive optimization high efficient coils voltage approach pulse modeling tissue front-end fully magnetic new amplifier telemetry biopotential
Image Processing-2,current measurement noise arrays electrode feedback amplifier capacitive long-term powered development modeling implant asic biosensor compact front-end pulse tissue cardiac
Image Processing-3,from papers selected biocas guest special issue signals biosensors editorial sensors international sensing new chip long-term flexible fluorescence adc asynchronous
Image Processing-4,power implants telemetry biomedical power-efficient links data chip cardiac long-term hearing new asynchronous time small front-end biopotential acquisition technology soc
Telecommunications-2,real-time cell microfluidic platform pulse electrochemical chip manipulation parameter approach biosensor modeling lab-on-chip neuron application respiratory acquisition soc microsystem spiking
Machine Learning-6,efficient implementation data vlsi spectroscopy model sensing image flexible dna magnetic high small parameter seizure epileptic ultrasound tissue acquisition pulse
Social Issues and Practice-5,processing biomedical low signal measurement image front-end sensing chip signals asic programmable model noise adc asynchronous new amplifier filter robust
Image Processing-5,circuits editorial international ieee from selected guest solid-state sensors biosensor biosensors prostheses arrays ultrasound neuron systems sensing biomedical chip new
Bioinformatics-10,medical energy biosensors energy-efficient sensing implant ultrasound efficient development small cardiac inductive asic estimation amplifier low-noise tissue new stimulator processing
Bioinformatics-11,prosthesis retinal technology electrodes active based fully prostheses biosensor long-term development biopotential sensing chip circuits new fluorescence adc asynchronous flexible
Bioinformatics-12,multichannel vlsi acquisition real-time recording front-end asic implementation programmable channel activity sensing platform microfluidic modeling flexible power-efficient chip cell new
Image Processing-6,editorial special guest issue iscas from papers selected biocas sensing chip new long-term flexible fluorescence adc asynchronous pulse biosensor hearing
Image Processing-7,systems sensors biomedical magnetic image chip ultrasound small measurement approach noise reconfigurable application fully filter spectroscopy acquisition biopotential sensing high
