Topic,Top Terms
Telecommunications,piezoelectric dynamic force positioning manipulators shape beam vibration visual high-speed stage mobile driven flexible memory tube servo microscopy uncertainties dead
Telecommunications-1,fuel cell state analysis performance law manufacturing stabilization space navigation fast partial guidance flow converters relative bounded actuator input saturation
Social Issues and Practice-2,disk drives hard rejection machine disturbance current dual-stage induction lyapunov multirate disturbances rotor estimator smart multiple online identification enhanced transfer
Telecommunications-2,implementation dynamics dynamic surface underactuated stabilization uncertain asymptotic backstepping comments algorithms vessel robotic state estimator problems methodology linear payload autonomous
Image Processing,friction compensation results scheme manipulators unknown robotic precision global suppression identification coordinated actuator underwater new environment domain test passive tolerant
Image Processing-1,fuzzy distributed plant magnetic bearing intelligent voltage data-driven supervisory harmonic subject solar field applied mechanism network-based cooperative energy constrained affine
Social Issues and Practice-4,identification tuning linear vibration controllers models switching dynamic parameter frequency lpv closed-loop dynamics analysis methods model electrical structural new method
Telecommunications-3,engines engine diesel time fuel improved seeking extremum bilateral teleoperation injection spark combustion turbocharged improving methods mpc crane operations delay
Telecommunications-4,sliding mode electric motors motor induction discrete-time modes synchronous time-varying discrete integral uncertainty method real-time time surface backstepping neural rotor
Telecommunications-5,fault detection diagnosis wind isolation turbines large combined direct two model-based induction sensor actuator unmanned simultaneous doubly faults gas network
Image Processing-4,constrained gain pid phase plants optimal turbine programming output selection oscillations scheduling tokamak response polymerization its plasma interval stabilization multivariable
Social Issues and Practice-9,optimal process optimization method generation integrated scheduling linear automatic suspension algorithm quadratic energy sensors paper its magnet energy-based adaptation regularized
Social Issues and Practice-10,flight real-time process path thermal optimal techniques applications multivariable model-based controllers processes uavs helicopters deposition plus processing localization following unmanned
Image Processing-5,constraints study under novel guidance cooperative stable handling benchmark analysis optimal haptic information angle case helicopter differential flight braking impact
Telecommunications-6,model performance air temperature aircraft reduction reduced feedforward compensation inverse thermal flow vibration impedance hysteresis fast plant limitations low shunt
Social Issues and Practice-12,decentralized attitude magnetic multiple velocity formation measurements multivariable damping spacecraft coordination without optimal actuators hysteresis passivity-based distributed ships nanopositioning precision
Image Processing-6,fault-tolerant online processes monitoring kalman filter detection functions basis prediction stochastic fault parameter sensor filters scheme minimum laser particle gas
Image Processing-7,neural networks network model stability evaluation function water large-scale wireless traffic reactor level target distribution kalman steam filter-based mobile rate
Image Processing-8,servo speed torque wind periodic drive disturbance high development position framework technique storage missile boundary editorial rate friction tool bandwidth
Telecommunications-7,management strategy analysis stability manipulator flexible its energy load parametric ignition results reference transient idle compression planning charge engines observer-based
Image Processing-10,variable steering automotive structure discrete-time brake synthesis operation observer-based electronic observers disturbance slip transmission throttle tire during performance braking continuous
Image Processing-11,industrial allocation model avoidance signal decoupling marine optimal linearization disturbance sampling loop furnace reference state sensor reset reducing vessels stabilizing
Telecommunications-8,validation actuator engine repetitive sensor mechanical valve structures flexible observer position parameters designs machines performance visual electromechanical sinusoidal faults electro-hydraulic
Telecommunications-9,experiments theory models input identification from velocity generalized rigid body mixed practical inertia algorithms point disturbances support approaches state-space regulation
Image Processing-12,observer networked communication sliding-mode autonomous transmission fuzzy sensorless robustness controlled model strategies network optimal speed through delays balancing reduced-order optical
Telecommunications-10,output regulation class pressure model-based lateral electrohydraulic hydraulic new indirect cylinder automated mems systematic attenuation position longitudinal operation conditions demonstration
Image Processing-14,iterative learning noise algorithm feedforward production mimo identification source cancellation signals effects search task presence machine problem landing actuators contouring
Telecommunications-11,mobile parallel trajectory robots wheeled applications actuators model converter fuzzy real-time planning pendulum horizon inverted configuration autonomous receding catalytic urban
