Topic,Top Terms
Bioinformatics,time dynamic models improving technique reconfiguration power low cyber-physical efficiency topology controllers synthesis response sliding-mode protocol development can decentralized stochastic
Telecommunications,survey compensation approach disturbance discrete-time variable motion multi-agent sliding environment ethernet measurements switched scheduling protocol routing modes phase probabilistic optimizing
Bioinformatics-2,drive motor neural adaptive linear induction servo position speed sliding-mode synchronous enhancement inverter motion development switched field environment stability schemes
Soft Computing,iec formal part 61499 execution code function standard modeling state-of-the-art operation generation set field review automatic towards allocation security functional
Telecommunications-1,architecture robust efficient software embedded fault integration tolerance automotive flexible actuator processing intelligent online infrastructure scalable area qos redundancy towards
Image Processing,editorial guest special enterprise part industry computing approaches electronics radio soft cyber-physical identification evaluation embedded electrical drives data-driven chain ethernet
Telecommunications-2,fpga tracking multilevel synchronization generalized machine inverter single-phase vision soft visual computing solution tool learning protocol phase three area comprehensive
Image Processing-1,hybrid online monitoring identification load electrical interface tool current drives experimental processes strategy clustering robot scheme remote virtual phase three
Bioinformatics-4,current source magnet permanent synchronous vector techniques inverter space motor motion support controllers compensation classification assessment synthesis comparison inverters adaptive
Image Processing-2,converter supply controlled sensorless torque matrix direct speed pmsm reduction digitally operation set field fpga chain photovoltaic distribution chains allocation
Social Issues and Practice-4,optimization swarm power particle algorithm planning comparison considering drives operations electrical space experimental parallel efficiency electronics scheme scalable optimizing robot
Image Processing-3,approach energy methods demand business response direct intelligent smart cyber-physical scheduling feedback evaluation electric reliable virtual area scalable measurements efficiency
Telecommunications-3,motors rotor induction machines torque fpga position controlled synchronous controllers high-speed monitoring compensation development switched measurement improved direct ethernet industry
Bioinformatics-9,under current grid active power can topology multi-agent photovoltaic solution damping development redundancy modulation distribution time-triggered phase three hard clustering
Image Processing-5,environments power building ieee issues large-scale stability radio testing safety simulation enhancement ethernet scheduling fpgas functional requirements semantic virtual quality
Image Processing-6,manufacturing petri automated flexible nets method operations continuous via modeling service formal protocol development decentralized qos assessment functional code generation
Machine Learning-6,optimal intelligent service rfid sensors parallel composition algorithms chains surface supply robots scheme technology chain decentralized coverage functional protocol algorithm
Image Processing-7,nonlinear data-driven prediction resource discrete review modes uncertain approaches sliding time decision delay state-of-the-art reliable feedback quality qos security probabilistic
Information Retrieval-12,framework verification integration novel service-oriented human task processes integrated model-based infrastructure continuous functional scheduling scheme cyber-physical electronics development enterprise formal
Telecommunications-4,information factory technologies engineering web semantic support software services requirements internet development optimizing building processes technology enterprise protocol learning virtual
Image Processing-9,improved adaptive strategy inverters grid-connected switching algorithms grid delay multi-agent coverage electrical drives technique uncertain remote decentralized fpga allocation techniques
Image Processing-10,algorithm adaptive fuzzy fpga-based mode novel sliding speed pmsm controllers operating servo development decision measurement allocation nonlinear controlled schemes method
Software Engineering-4,multiple power access study factor simple comprehensive architectures information comparative remote ieee protocol internet single-phase neural time-triggered scheme rectifier flexible
Social Issues and Practice-6,networked detection diagnosis fault automatic estimation video through fast fault-tolerant sensing signal defect integrated decision protocol remote fpga-based classification generation
Telecommunications-5,process modeling fuzzy hierarchical vehicles recognition state via heterogeneous approach electric quality surface development technology optimizing efficient protocol evaluation remote
Image Processing-11,method new from fault detection measurement high-speed signal evaluation development quality forecasting over generation monitoring scheme assessment technology traffic protocol
Social Issues and Practice-7,data mobile its traffic selection energy-efficient motion algorithms flow architectures forecasting coverage robots protocol robot environment clustering adaptive scheduling interface
Image Processing-12,smart grids routing protocols grid modulation electric solution environment scheme development reliable time-triggered security qos area technology measurements architecture ethernet
Social Issues and Practice-8,embedded over constraints power distribution estimation reconfigurable power-aware strategies machine tools synchronous methodology configuration model-based load operating processing ethernet scheduling
Telecommunications-6,voltage three-phase high logic dsp-based converter dual rectifier pwm strategy matrix inverter study novel fuzzy source disturbance efficiency robot protocol
