Topic,Top Terms
Image Processing,rayleigh combining correlated probability optimum selection reception rician generalized nakagami-m signals m-ary ber cochannel exact signaling binary unified nakagami bit
Social Issues and Practice-1,coherent acquisition code spectrum spread spread-spectrum receiver rayleigh jamming tracking satellite signals sequence fast presence mobile communications direct-sequence multitone study
Image Processing-1,noise phase gaussian digital presence distribution nonlinear effects ofdm errors signals density satellite correction analog applications statistics signal characterization loops
Image Processing-2,space-time coded block differential trellis iterative noncoherent equalization rayleigh orthogonal turbo demodulation psk signals code constellation combined bit-interleaved linear receiver
Software Engineering-4,multiuser multiple access multiple-access feedback detectors decision asynchronous multipath code-division communications receiver detector uwb impact random orthogonal generalized synchronous reception
Social Issues and Practice-3,linear multiuser antenna receivers antennas processing based array transmit ds/cdma signal communications arrays filters mmse suppression multiple blind receive robust
Image Processing-3,ds-cdma multicarrier system noise cancellation receivers coded optimum multipath receiver spreading successive transmitter correlation asynchronous multiuser impulsive non-gaussian ber mimo-ofdm
Social Issues and Practice-5,reduction joint ofdm optimization power coded source-channel efficient signals protection unequal schemes approach through subcarrier modeling markov variable-length transceiver modulations
Image Processing-4,frequency radio ofdm offset data mobile digital system carrier selective impulse joint loop signals synchronization techniques low-complexity multiplexing baseband high
Image Processing-5,relay feedback network distributed cooperative beamforming broadcast limited scheme synchronization source hoc sensor frame based optimal two-way gaussian via algorithms
Image Processing-6,phase timing signals recovery symbol carrier synchronization keying continuous frequency jitter modulated cpm effect shift blind maximum-likelihood signal digital sequence
Image Processing-7,system rate throughput ieee product adaptation average delay slow control two-dimensional discrete management constant link flow window optimization modulus service
Image Processing-8,cognitive spectrum cooperative relaying radio relay sensing imperfect opportunistic information amplify-and-forward tradeoff sharing capacity outage access achievable decode-and-forward cooperation dynamic
Social Issues and Practice-8,power optimal allocation capacity multiuser precoding ofdm multiple rate downlink co-channel optimum signal constraints large framework statistical frequency-selective maximization single
Image Processing-9,communications equalization spread-spectrum multiple-access blind frequency-selective direct-sequence ofdm time-varying suppression training minimum comments filter transceivers sequences estimator probabilities sequence based
Telecommunications,method spectral efficient algorithm reed-solomon new results sequences computation fast via cyclic strategy random assignment further general errors signaling spreading
Image Processing-10,allocation joint resource maximum distributed likelihood ofdma cellular scheduling uplink spatial soft system downlink dynamic synchronization sequence number optimal multiplexing
Image Processing-11,ldpc based construction parity-check binary low-density code decoder distance new partial turbo encoding minimum quasi-cyclic sets response nonbinary irregular low
Image Processing-12,bounds probability bound applications random trellis-coded communications gaussian general echo upper exact sum distribution theory improved outage generalized variables some
Image Processing-13,control power schemes comparison approach indoor evaluation techniques communications analytical uwb access high-speed ultra-wideband cellular combining infrared strategies call radio
Telecommunications-1,switching packet atm multicast time switch routing nonblocking parallel assignment switches wdm scheduling traffic architecture loss protocol input algorithms algorithm
Telecommunications-2,quantization vector new application its noisy equalizers model multipath properties matched class filter analytical statistical use signal two-stage data sparse
Image Processing-16,rate turbo concatenated iterative convolutional complexity low variable high code trellis bit based information soft ldpc length data joint speech
Social Issues and Practice-16,algorithm image algorithms convolutional viterbi fast binary new block efficient scheme compression data novel quantization search convergence decoders technique transform
Social Issues and Practice-17,energy mobile communications sampling efficiency simulation selection system technique cellular importance antenna information efficient protocol erasure transmit generation crosstalk capacity
Image Processing-17,arq hybrid schemes scheme under protocols buffer traffic correlated bandwidth finite capacity delay sources evaluation bursty queue model generalized atm
Social Issues and Practice-19,packet network radio delay traffic multihop slotted aloha problem ring protocols models routing throughput time study capture message model optimal
