Topic,Top Terms
Image Processing,security data attack against protection control storage access management cloud method scalable solution cryptographic application between spread-spectrum flexible anonymous technique
Robotics,evaluation recognition classification performance algorithms gait database environment correlation fusion fuzzy scalar large surveillance multimodal dental discriminant code internet formal
Telecommunications,models facial 3-d application hybrid template online sensitivity 2-d discriminant representation learning index fast between fuzzy speaker gradient graphical protection
Platform-based Development,recognition human from gaussian sequences gait models speaker vector experimental discriminant agreement gabor covert public sensing representation signal dental gradient
Social Issues and Practice-2,system features modeling 3-d fusion shape stochastic random efficient clustering multimodal classification error hashing voting part user gabor formal spatial
Image Processing-1,audio performance frequency presence over large high enf phase timing improved broadcast enhancing voting fading hashing jamming surveillance communications system
Image Processing-2,codes fingerprinting through optical toward multimedia elections scan decoding practical covert user spectrum spread voting binary integrity distance steganography hashing
Bioinformatics-3,from digital error exposing jpeg message motion keys traces fusion processing color signal sketches steganography signatures spread-spectrum spectrum spread fair
Image Processing-3,under noise method game cryptographic cooperative ad-hoc scalable monitoring steganography performance integrity securing communications hardware block software signatures information-theoretic keys
Software Engineering-3,secrecy channel wiretap communication capacity generation secret agreement design rate over constraints multiple strong public vector transmission broadcast temporal block
Social Issues and Practice-6,estimation fast fading optimal methods steganographic statistical cover distribution signal comparative representation establishment environment constrained block transmission discriminant differential across
Machine Learning-4,fingerprint study subspace latent empirical approach automated databases use comparative segmentation learning case retrieval reconstruction transform information-theoretic compressed transforms transmission
Social Issues and Practice-7,applications visual its biometrics cryptography soft group general user characterization random retrieval steganography construction quantitative transform application spectrum watermark traces
Social Issues and Practice-8,privacy protocol sharing novel distributed secret preserving visual search anonymous pixel malicious privacy-preserving schemes across user fair constrained architecture communications
Bioinformatics-6,detection camera pattern automatic noise improved active linear digital enhancing pairwise source differential forensics establishment construction dental algorithm transmission anomaly
Telecommunications-1,feature measure approach information image-quality iris distance generating hashing filtering large-scale transforms malware traffic steganography comparative construction sketches software information-theoretic
Image Processing-4,information behavior fingerprinting side design privacy-preserving via forensics flow methodology mimo generating level strong construction sensing watermarks stochastic multimedia graphical
Image Processing-5,network approach mobile traffic large-scale distribution graph message monitoring protocol secret architecture information-theoretic keys software trusted arithmetic quantitative sensing spectrum
Telecommunications-2,detecting jpeg matrix quantization compression localization forgery via artifacts detection steganography anti-forensics gradient index hashing traces hardware transform theory reconstruction
Social Issues and Practice-12,detection schemes via blind efficient perceptual spatial quality fusion intrusion clustering watermarks spread-spectrum anomaly fair motion hashing sensing spectral reconstruction
Image Processing-6,data hiding reversible encryption security physical-layer selection encrypted joint relay jamming two-way against transform spectrum spread scalar fourier technique code
Social Issues and Practice-14,recognition verification local approach coding feature binary extraction efficient effect comprehensive channel blind representation hashing spectral flexible discriminant differential compressed
Image Processing-7,editorial trust guest special layer physical detection mimo securing voting electronic trusted surveillance devices internet public transmission generation distributed communication
Bioinformatics-13,fingerprints forensics via estimation age source intrinsic digital learning forensic message across filtering pairwise steganography their subspace distance processing anti-forensics
Software Engineering-10,algorithm multiple access signals general extended speech point resilient code representation scalar steganography electronic sensing discriminant anomaly extraction multimodal devices
Optimization-15,techniques digital statistical exploiting extraction domain tracking temporal detection forensic adaptive compressed level generating malware internet structure blind flow hardware
Image Processing-8,model signature dynamic verification modulation continuous markov wavelet hidden transform application group template index fair large-scale algorithm integrity architecture user
Social Issues and Practice-16,iris performance adaptive visible degraded indexing assessment methodology covert experimental biometrics fuzzy compression steganography hashing constrained segmentation its quality filtering
