Topic,Top Terms
Telecommunications,monitoring framework integration probabilistic model-based sensors algorithms integrating computing implementation predictive intersection artificial computer condition position video large-scale loss onboard
Bioinformatics-1,scheme localization enhanced intersections global maps matching through vanets visual rail map accurate digital queue mobile data lane-level integrity operations
Bioinformatics-2,new surveillance feedback allocation parking container space agent smart scene terminals video-based resource challenges track efficient platform message cars cognitive
Platform-based Development-1,models sign camera impact data management optimal neural calibration patterns microscopic incident fuel dsrc hierarchical weather crash car-following cameras large
Social Issues and Practice,from data video learning robust evacuation road driving pedestrian spatiotemporal planning selection mixed probe error markov conditions images signals safety
Telecommunications-1,design integrated automatic simulator techniques commercial brake light intersections environmental benefits emergency assessing electronic mobility longitudinal emissions assistance bus lateral
Telecommunications-2,applications data application car vision automotive route results integrated service computer in-vehicle part assistance use review efficient state future reliability
Telecommunications-3,lane drivers automated vision-based location use prototype algorithms its behavior keeping head design concept departure mobile positioning weather vanets level
Image Processing-1,collision avoidance study trajectory autonomous mitigation ieee path decision communication vehicular mac analytical high fuzzy performance route strategies experimental enhancing
Telecommunications-4,network dynamic measurement laser radar range measurements problem loading path continuous road speed freeway intersections location-based electronic-toll-collection detector generation short-range
Telecommunications-5,navigation efficient road architecture planning reliable overtaking autonomous fuzzy strategy lane-change maneuver low-cost video-based inertial perception dynamic information large integrity
Image Processing-3,information communication intervehicle communications transmission infrared fuzzy railway process technique high-speed inference propagation study rate through continuous protocol highways dissemination
Social Issues and Practice-5,sensor fusion robust stereo radar motion moving framework vision obstacle segmentation background multiple target particle objects registration road pose in-vehicle
Social Issues and Practice-6,freeway electric optimal speed methods metering ramp variable travel-time risk security coordination conditions design limits local optimizing congested fault-tolerant queueing
Telecommunications-6,performance network passenger transport public bayesian dynamic transit human information investigation estimating signalized queuing multimodal method mobile vanets emergency electronic
Image Processing-4,driving cooperative development field scenarios experimental level environment validation intersection challenge design characterization crossing service bus results grid under license
Social Issues and Practice-7,behavior driving warning autonomous collision stochastic distraction visual assistance local advanced petri density crash collisions effect nets its probability error
Telecommunications-7,assessment automatic approach steering pedestrian active new braking threat safety situation artificial maneuvers automotive train lane-change function computational experiments ramp
Bioinformatics-14,special online recognition editorial learning issue cruise guest wireless technologies technology introduction solutions improved reinforcement vehicular communication short-term sign perception
Telecommunications-8,signal dynamic stochastic under processing assignment coordinated strategies automated services virtual approach congestion semantic event conditions multiagent complex policies evaluating
Telecommunications-9,time travel link times route signal freeway guidance reidentification decentralized reliability energy arrival emissions technique regression reduction forecasting multimodal freeways
Telecommunications-10,vehicular method environments hoc novel extraction from visual automatic propagation improving identification their information characterization stochastic camera detecting accurate inertial
Social Issues and Practice-12,approach gps hybrid routing positioning solution integrated multiple linear problem programming predictive sensors localization presence environment information in-vehicle potential nonlinear
Image Processing-7,safety its approach cooperative toward research road section development applications framework highways short-range situation reinforcement future rate concept platform activity
Telecommunications-11,road recognition survey state scenes image algorithms object statistical segmentation understanding sampling incremental general license three-dimensional plate filter features short-term
Social Issues and Practice-13,scheduling support problem sequencing horizon receding aircraft arrival flight delays detecting operations efficient optimal resolution emissions cognitive intersection genetic reduction
Telecommunications-12,management air highway parallel automated motion identification large-scale test lateral counts acc approaches observability longitudinal generation introduction through methodology crossing
Social Issues and Practice-15,classification via speed counting roadside onboard images low-cost trains sensing sensors cameras accuracy energy regression forecasting measurement short-term reidentification distributed
Social Issues and Practice-16,conflict aircraft resolution stability flows genetic maneuvers surface airport intersecting performance enhancing cooperative programming avoidance decentralized under multiple nonlinear congested
Telecommunications-13,pedestrian simulation dynamics controller predicting environment effects change path applied lanes impacts probe naturalistic conflict driver-assistance cars experimental their features
